Course, Grade
MATH-612,89.63
MATH-613,90.78
LLED-301,84.48
MATH-610,92.49
MATH-611,87.6
MATH-616,94.9
MATH-615,95.6
ITAL-200,76.0
ITAL-201,75.74
ITAL-202,74.47
CHIN-321,76.83
CHIN-320,76.41
CHIN-323,76.14
CHIN-322,77.1
LATN-401,86.4
OHS-401,84.47
HPB-506,93.6
ETEC-510,90.99
ETEC-511,89.2
ETEC-512,88.23
HPB-501,80.77
HPB-505,93.41
LATN-403,93.5
HPB-504,84.72
LATN-402,79.57
HPB-503,82.37
HPB-502,86.26
LLED-310,82.64
LLED-312,-1.0
LLED-313,-1.0
IGEN-430,85.7
ECON-699,-1.0
LLED-318,-1.0
LLED-314,-1.0
LLED-315,-1.0
CHIN-310,77.83
CHIN-312,78.6
CHIN-311,75.9
CHIN-314,76.11
LATN-412,83.67
CHIN-313,75.33
ETEC-520,85.88
ETEC-521,89.15
CHIN-315,78.42
ETEC-522,84.67
CHIN-318,79.49
ETEC-523,83.45
CHIN-317,78.38
ETEC-524,90.64
GEM-540,84.72
LATN-414,81.83
LATN-413,80.75
MATH-620,90.0
LATN-416,90.0
CHIN-341,77.91
CHIN-340,76.68
CHIN-343,78.18
OHS-430,79.09
OHS-431,74.58
CHIN-345,78.46
LATN-420,84.11
CHIN-347,78.41
FRST-318,75.84
LATN-423,88.63
FRST-319,71.12
LATN-422,85.31
CSIS-490,69.69
DENT-725,-1.0
DENT-726,-1.0
DENT-727,-1.0
FRST-310,81.98
FRST-311,68.07
DENT-721,84.0
FRST-312,79.14
DENT-722,90.5
GEM-530,92.64
IGEN-452,87.8
MATH-649,-1.0
IGEN-451,78.02
IGEN-450,81.32
LFS-450,81.77
CHIN-330,75.17
OHS-440,80.6
CHIN-332,75.37
OHS-441,78.98
CHIN-331,76.29
OHS-442,78.76
CHIN-334,76.22
FRST-305,77.76
OHS-432,76.16
CHIN-333,77.2
FRST-306,70.31
FRST-307,73.68
OHS-434,83.4
TIBT-101,85.53
CHIN-335,77.87
FRST-308,72.58
OHS-435,74.2
CHIN-338,81.92
FRST-309,74.43
CHIN-337,77.6
ETEC-500,89.42
TIBT-100,84.72
DENT-714,-1.0
DENT-715,-1.0
FRST-300,69.46
DENT-711,-1.0
FRST-302,84.29
GEM-521,88.01
DENT-712,-1.0
FRST-303,88.23
GEM-520,90.81
DENT-713,-1.0
FRST-304,83.2
ENPH-253,87.48
GEOS-309,80.43
GEOS-308,78.47
ENPH-259,84.62
ENPH-257,79.73
POLI-401,75.19
POLI-402,78.02
POLI-403,78.14
POLI-404,79.11
GEOS-307,76.65
GEOS-306,76.1
GEOS-305,73.19
GEOS-303,77.8
GEM-511,86.74
POLI-405,70.5
GEM-510,87.91
POLI-406,78.59
LIBE-381,88.41
GEOS-300,77.34
LIBE-383,86.28
LIBE-385,85.54
LIBE-387,85.87
LIBE-388,81.3
PORT-101,80.68
PORT-102,77.8
MEDI-590,83.56
GEM-500,83.27
PORT-110,90.89
CHIN-301,76.92
CSIS-450,81.47
POLI-423,82.33
CHIN-300,76.75
POLI-424,83.05
CHIN-303,76.47
CHIN-302,77.84
POLI-426,71.63
CHIN-305,76.6
POLI-420,84.27
CHIN-307,78.48
MEDI-580,81.89
POLI-421,78.08
POLI-422,78.22
POLI-427,76.44
POLI-428,74.46
POLI-429,75.06
MATH-601,95.0
MATH-602,89.43
MATH-600,90.0
LFS-490,77.61
MATH-605,87.37
MATH-606,90.38
MATH-603,89.0
MATH-604,83.52
MATH-609,91.8
MATH-607,89.09
MATH-608,91.58
LFS-496,92.85
PHYL-301,73.62
PHYL-302,81.08
MEDI-570,86.92
PHYL-303,84.67
ARCL-425,76.08
LLED-387,-1.0
LAIS-621,92.0
LLED-388,-1.0
LAIS-620,89.5
ECON-620,84.5
ARCL-424,77.66
ECON-622,90.71
LLED-386,-1.0
SOWK-570,90.02
ECON-627,85.89
SOWK-572,80.24
ECON-626,83.83
SOWK-571,85.23
ECON-629,90.42
ETEC-590,93.05
ECON-628,86.05
SOWK-573,87.5
FREN-699,-1.0
KIN-232,85.6
KIN-235,76.34
KIN-231,76.78
KIN-230,74.8
LLED-391,82.97
LLED-392,83.62
LLED-399,-1.0
SOWK-560,87.33
HUNU-250,75.33
LLED-366,-1.0
LLED-367,-1.0
ECON-640,89.06
LLED-368,-1.0
LLED-361,-1.0
LLED-363,-1.0
BUSI-414,75.41
KIN-211,77.19
CIVL-306,69.96
CIVL-300,77.99
CIVL-301,78.81
LLED-371,-1.0
CIVL-304,80.42
KIN-215,80.99
CIVL-305,72.97
CIVL-302,78.77
CIVL-303,87.71
KIN-216,79.16
LLED-372,-1.0
BUSI-401,73.09
BUSI-400,76.92
ETEC-580,-1.0
KIN-201,-1.0
CIVL-311,75.05
ENPH-270,80.79
LLED-381,-1.0
LLED-382,-1.0
CIVL-315,76.55
CIVL-316,77.21
KIN-206,75.94
KIN-205,78.86
EDUC-270,55.93
APPP-506,90.33
APPP-505,87.62
APPP-504,79.9
EDUC-273,69.61
APPP-503,80.6
APPP-502,81.9
APPP-501,85.52
EDUC-272,65.33
BUSI-433,65.43
SOWK-530,83.02
SOWK-532,89.26
SOWK-531,85.07
OHS-444,81.61
OHS-445,74.63
KIN-275,76.3
EDUC-278,69.97
EDUC-275,75.02
EDUC-276,69.69
EDUC-279,83.57
SOWK-523,86.04
HUNU-209,72.07
SOWK-522,80.68
SOWK-525,88.51
HUNU-207,-1.0
LING-270,82.19
SOWK-524,86.43
